file,ref_len,ref_pix,antenna_pix,mark_pix,antenna_len,mark_len
2ld_1,50,688.3,451.1,333.2,32.76914136,24.20456196
2lv_1,50,1305.2,867.8,655.4,33.24394729,25.10726325
3ld_1 ,50,975,544.4,333,27.91794872,17.07692308
4rd_1,50,945.5,402.8,378.7,21.300899,20.02644104
4rv_1 ,32.8,1085,684.2,608.8,20.68364977,18.4042765
5ld_1,32.8,1055.6,737.6,666.9,22.91898446,20.72216749
5lv_1 ,,,,,,
6ld_1,50,1331.6,849.9,699.4,31.91273656,26.26164013
6lv_1 ,50,1173.7,755.5,517.9,32.1845446,22.06270768
7rd_1,50,1438.1,1077.9,941.8,37.47653153,32.74459356
7rv_1 ,50,1754.5,831.1,664.6,23.68481049,18.93986891
8rd_1,,,,,,
9rd_1,50,2038,998.7,872.7,24.50196271,21.41069676
9rv_1 ,50,2040,886.5,1001.8,21.72794118,24.55392157
10ld_1,50,1331,761,583,28.58752817,21.90082645
10lv_1 ,50,1794.3,1201.8,878.1,33.48938305,24.46915232
